bin_centers,train_offset,val_offset,test_offset,train_cumulative,val_cumulative,test_cumulative
0.39976498906093183,0.03938483040803313,0.03954526654754952,0.04859018344367617,0.03141058292991061,0.028079292206268584,0.03183364122522606
1.1972949670878006,0.02288121181331017,0.02804714816799475,0.03268943000456418,0.049659035284607994,0.04698849031394051,0.05098595490954649
1.9948249451146693,0.022939551242335352,0.02839260696461147,0.0327772700537926,0.06795401508285394,0.06617320216808736,0.07020832366639793
2.792354923141538,0.026357609232902625,0.031841309001085345,0.036572914716570724,0.08897499859521155,0.08810835728160445,0.09245783282775262
3.589884901168407,0.03031424951598582,0.03600302350533382,0.040851622832479506,0.11315152134559674,0.11336260447224891,0.11811973997877141
4.387414879195275,0.033566091576175676,0.03966696946305487,0.04455670019999885,0.139921485622792,0.14153895840204628,0.14673655740129576
5.184944857222144,0.03629969964894399,0.04227416465891036,0.04699019910585462,0.16887158428619622,0.17179462865910605,0.17729416315273566
5.982474835249013,0.0392956636778444,0.045451208401845494,0.049692559016205055,0.20021105407573866,0.20458408654265928,0.21000698194409806
6.780004813275882,0.04098891702086388,0.04687125685493682,0.05133072479845191,0.23290094416673338,0.23850607563780352,0.24402628705578014
7.577534791302751,0.04150638889948046,0.04744255424624877,0.05191935540000848,0.26600353359371065,0.2728836915288876,0.2785150427181876
8.375064769329619,0.041958967213348554,0.047668936157531025,0.052049354127456475,0.29946706779340265,0.30744185378070227,0.31310747626284013
9.172594747356488,0.042337773394889526,0.047536366910284095,0.05149651863004862,0.33323271127873544,0.341894288083673,0.3472590069253926
9.970124725383357,0.04247213317721661,0.04713367876649522,0.051276634418849415,0.36710551071831526,0.37602556652017616,0.3812351733378188
10.767654703410226,0.04233422958894622,0.046976388614536395,0.0508103889829062,0.4008683279121719,0.41003140134524374,0.4148394950379622
11.565184681437094,0.0420475242564932,0.046470923083025285,0.05002391940889594,0.4344024890085371,0.4436341122560719,0.4478165836760263
12.362714659463963,0.04125474057205894,0.04579250177129462,0.04901063387335937,0.4673043813504754,0.47669576183306256,0.479985546723199
13.160244637490832,0.04013238293488872,0.04466865141092499,0.04776507788423563,0.4993111598307031,0.5088611070568422,0.5111611415297346
13.957774615517701,0.03842651669114597,0.04310589180096133,0.046157593619830524,0.5299574588430419,0.5397801046432262,0.5410547194462006
14.755304593544569,0.03656449435325229,0.04173682455429084,0.04472601672438486,0.5591187392211547,0.5696072300584558,0.5698065718726981
15.552834571571438,0.034567616862308095,0.03978930624791178,0.042724559043841356,0.5866874499377925,0.597881151241592,0.5969622017992101
16.350364549598307,0.03278355825516916,0.03791513568078832,0.041055143567496497,0.6128333204326802,0.6246603652135116,0.622786422837555
17.147894527625176,0.03082371925214951,0.03583713084074617,0.03928663815204776,0.6374161605705534,0.6497823080310127,0.6472002077907767
17.945424505652042,0.029091750781834416,0.03371448348779922,0.03756449591911553,0.660617703932353,0.6732113759517592,0.6702405326868087
18.742954483678915,0.027380397354695437,0.03162923442659611,0.035533493073243015,0.6824543916330101,0.6949773952345438,0.6916610719277997
19.54048446170578,0.02598851993862575,0.029749902351895344,0.03413112043737257,0.7031810153686131,0.7152445908490871,0.7119631769513193
20.338014439732653,0.02453510223654975,0.028083912590386974,0.03267704376217621,0.7227484949162156,0.7341831096857417,0.7311056122360202
21.13554441775952,0.023403180133876388,0.0265161725783751,0.031248535018514628,0.7414132326541449,0.7518713088650647,0.7491087689737775
21.933074395786388,0.022088275707115006,0.025139317793956516,0.03007559195494979,0.7590292946934919,0.768461425078424,0.7661764684558232
22.730604373813257,0.021005280989724578,0.024194943012851366,0.02906435185393591,0.7757816359796751,0.7842983740933595,0.7824376736423273
